CustMonthID,DateKey,CustomerID,IsActive,EngagementSegment,DeviceRuntimeHrs,WaterPumpedLitres,NPSScore,CSATScore,ChurnFlag,ChurnReason
1,20240131,CUST-00001,1,Highly Active,5.5,1243,3,4,0,
2,20240229,CUST-00001,1,Highly Active,6.9,2733,0,4,0,
3,20240331,CUST-00001,1,Highly Active,5.1,2321,5,4,0,
4,20240430,CUST-00001,1,Active,8.5,2661,5,3,0,
5,20240531,CUST-00001,1,Highly Active,4.5,1623,7,3,0,
6,20240630,CUST-00001,1,Highly Active,5.6,1748,4,3,0,
7,20240731,CUST-00001,1,Highly Active,7.4,1728,5,3,0,
8,20240831,CUST-00001,1,Dormant,9.4,2007,6,3,0,
9,20240930,CUST-00001,1,Active,9.0,1029,7,3,0,
10,20241031,CUST-00001,1,Highly Active,8.5,2073,6,3,0,
11,20241130,CUST-00001,1,Active,8.4,3500,7,3,0,
12,20241231,CUST-00001,1,Highly Active,6.6,2582,9,4,0,
13,20250131,CUST-00001,1,Active,3.7,2475,8,4,0,
14,20250228,CUST-00001,1,Active,5.9,1654,6,5,0,
15,20250331,CUST-00001,1,Highly Active,7.3,1960,9,3,0,
16,20250430,CUST-00001,1,Active,9.4,1313,9,5,0,
17,20250531,CUST-00001,1,Highly Active,9.9,2997,4,3,0,
18,20250630,CUST-00001,1,Highly Active,5.3,3087,6,4,0,
19,20250731,CUST-00001,1,Lapsed,5.4,2118,9,4,0,
20,20250831,CUST-00001,1,Lapsed,3.4,2049,3,3,0,
21,20250930,CUST-00001,1,Active,3.1,2221,9,3,0,
22,20251031,CUST-00001,1,Active,7.0,1018,8,4,0,
23,20251130,CUST-00001,1,Highly Active,5.2,454,8,3,0,
24,20251231,CUST-00001,1,Active,5.7,1729,8,4,0,
25,20260131,CUST-00001,1,Highly Active,3.3,1371,8,4,0,
26,20260228,CUST-00001,1,Lapsed,3.5,2185,7,3,0,
27,20260331,CUST-00001,1,Dormant,6.5,1455,7,4,0,
28,20260430,CUST-00001,1,Active,6.6,2243,6,4,0,
29,20241231,CUST-00011,1,Active,2.1,1622,6,4,0,
30,20250131,CUST-00011,1,Highly Active,9.8,2107,6,3,0,
31,20250228,CUST-00011,1,Highly Active,6.7,2226,8,4,0,
32,20250331,CUST-00011,1,Dormant,5.2,605,3,3,0,
33,20250430,CUST-00011,1,Active,5.6,2258,6,2,0,
34,20250531,CUST-00011,1,Highly Active,8.0,1543,8,4,0,
35,20250630,CUST-00011,1,Active,6.9,2101,10,3,0,
36,20250731,CUST-00011,1,Active,5.8,1928,7,3,0,
37,20250831,CUST-00011,1,Highly Active,8.6,631,8,4,0,
38,20250930,CUST-00011,1,Highly Active,7.3,2011,8,4,0,
39,20251031,CUST-00011,1,Dormant,4.6,2671,9,3,0,
40,20251130,CUST-00011,1,Active,4.4,1888,6,3,0,
41,20251231,CUST-00011,1,Highly Active,10.0,2914,8,4,0,
42,20260131,CUST-00011,1,Highly Active,7.9,2867,10,4,0,
43,20260228,CUST-00011,1,Lapsed,9.1,2250,7,3,0,
44,20260331,CUST-00011,1,Dormant,7.3,2518,6,4,0,
45,20260430,CUST-00011,1,Active,6.2,1928,7,4,0,
46,20240430,CUST-00021,1,Highly Active,10.0,1774,6,3,0,
47,20240531,CUST-00021,1,Active,10.0,1035,5,2,0,
48,20240630,CUST-00021,1,Dormant,4.6,1390,8,4,0,
49,20240731,CUST-00021,1,Dormant,2.0,1669,7,5,0,
50,20240831,CUST-00021,1,Lapsed,9.1,2411,4,4,0,
51,20240930,CUST-00021,1,Lapsed,6.1,787,4,3,0,
52,20241031,CUST-00021,1,Lapsed,7.4,978,4,4,0,
53,20241130,CUST-00021,1,Active,7.3,1766,8,3,0,
