DeviceDayID,DateKey,DeviceID,Status,AvgUptimePct,AvgRuntimeHrs,TotalWaterPumpedLitres,AvgFlowRateM3H,TotalSolarGenKWh,AvgBatterySoCPct,AvgSignalStrengthDBm,HeartbeatMissCount,AvgDataLatencyMs
1,20250131,DEV-00001,Online,95.1,6.2,1516,2.0,2.0,86,-69,2,80
2,20250228,DEV-00001,Online,93.0,6.4,2360,3.3,3.1,53,-73,1,167
3,20250331,DEV-00001,Online,89.2,5.7,1293,2.0,1.8,82,-79,1,282
4,20250430,DEV-00001,Online,97.1,6.0,1907,3.4,2.0,57,-81,0,278
5,20250531,DEV-00001,Offline,62.0,5.0,1352,2.7,1.4,54,-90,1,196
6,20250630,DEV-00001,Online,95.7,6.5,2416,3.3,3.8,84,-61,3,424
7,20250731,DEV-00001,Online,99.9,5.8,1849,3.5,2.7,72,-78,2,287
8,20250831,DEV-00001,Online,99.2,5.5,2655,2.2,1.9,58,-78,1,177
9,20250930,DEV-00001,Online,98.6,5.4,451,2.3,2.8,82,-77,1,246
10,20251031,DEV-00001,Online,94.1,5.4,2043,2.6,1.4,78,-95,1,282
11,20251130,DEV-00001,Online,96.9,5.3,1174,3.3,1.0,63,-72,0,311
12,20251231,DEV-00001,Online,95.1,3.9,1686,3.0,2.8,85,-60,1,171
13,20260131,DEV-00001,Online,90.2,7.2,2831,4.0,4.0,58,-53,1,304
14,20260228,DEV-00001,Online,90.4,7.6,2208,2.7,2.4,77,-71,2,273
15,20260331,DEV-00001,Online,83.7,5.8,2346,3.4,2.0,54,-75,0,212
16,20260430,DEV-00001,Online,95.6,4.9,704,3.8,1.3,52,-79,3,220
17,20250131,DEV-00006,Online,96.7,7.1,2508,2.9,2.9,53,-95,1,230
18,20250228,DEV-00006,Online,95.3,6.8,2391,2.4,3.3,56,-60,1,238
19,20250331,DEV-00006,Online,99.9,7.1,1191,2.2,2.3,59,-67,1,237
20,20250430,DEV-00006,Online,97.1,5.6,1591,2.5,1.5,88,-73,4,160
21,20250531,DEV-00006,Online,90.3,4.0,851,3.2,2.2,78,-67,1,225
22,20250630,DEV-00006,Online,89.7,6.0,1935,2.0,3.0,62,-90,0,279
23,20250731,DEV-00006,Online,96.0,7.3,1687,3.0,2.8,61,-70,5,297
24,20250831,DEV-00006,Online,94.4,7.8,2045,1.5,2.6,67,-70,1,207
25,20250930,DEV-00006,Online,97.6,5.6,990,2.6,3.1,83,-75,0,267
26,20251031,DEV-00006,Online,91.6,6.5,801,2.1,1.0,58,-74,3,276
27,20251130,DEV-00006,Online,93.5,6.7,1600,1.9,1.4,82,-63,2,252
28,20251231,DEV-00006,Online,97.9,5.1,1007,2.9,2.7,73,-76,1,269
29,20260131,DEV-00006,Online,95.0,6.1,2666,2.6,3.7,62,-63,2,364
30,20260228,DEV-00006,Online,88.1,7.1,2332,2.8,2.5,74,-76,1,336
31,20260331,DEV-00006,Online,98.9,6.1,1397,2.1,2.1,73,-60,0,201
32,20260430,DEV-00006,Online,95.4,5.2,1370,2.4,2.5,79,-64,3,119
33,20250131,DEV-00011,Online,96.6,8.3,3083,3.5,3.1,75,-68,3,374
34,20250228,DEV-00011,Degraded,59.2,7.6,2072,2.4,2.8,73,-76,0,448
35,20250331,DEV-00011,Online,99.9,5.0,2341,3.2,2.2,60,-70,2,205
36,20250430,DEV-00011,Online,90.1,3.9,1185,3.2,2.9,63,-62,0,213
37,20250531,DEV-00011,Online,88.5,6.5,1954,3.4,2.2,35,-78,0,135
38,20250630,DEV-00011,Online,94.1,6.5,2685,3.8,3.4,72,-55,0,249
39,20250731,DEV-00011,Online,95.5,8.1,2419,2.4,2.9,80,-62,2,546
40,20250831,DEV-00011,Online,89.4,8.8,2126,2.1,2.9,68,-65,2,327
41,20250930,DEV-00011,Online,87.7,5.1,1263,1.9,3.4,69,-76,0,314
42,20251031,DEV-00011,Online,97.2,3.4,1809,2.9,2.4,76,-82,5,405
43,20251130,DEV-00011,Online,91.4,4.5,913,1.9,1.7,84,-70,1,296
44,20251231,DEV-00011,Online,89.1,7.3,1807,2.9,3.2,72,-78,0,436
45,20260131,DEV-00011,Online,99.9,8.1,2735,2.8,2.6,79,-78,0,277
46,20260228,DEV-00011,Online,96.4,6.7,2144,3.8,2.5,55,-79,3,322
47,20260331,DEV-00011,Offline,65.6,4.9,1679,2.7,1.7,72,-79,2,306
48,20260430,DEV-00011,Online,95.8,6.2,1322,2.8,1.5,61,-73,0,348
49,20250131,DEV-00016,Online,94.0,7.7,1101,2.0,3.6,78,-78,2,328
50,20250228,DEV-00016,Online,94.6,6.8,2212,2.6,3.3,68,-63,2,80
51,20250331,DEV-00016,Online,94.4,3.1,300,2.7,1.7,66,-62,3,247
52,20250430,DEV-00016,Online,88.3,6.1,877,1.9,2.8,65,-68,1,321
53,20250531,DEV-00016,Online,90.9,4.9,1387,2.8,2.3,92,-52,1,328
54,20250630,DEV-00016,Degraded,62.4,6.5,2929,2.3,2.5,88,-80,1,336
55,20250731,DEV-00016,Online,92.2,5.9,2172,1.5,2.4,52,-57,3,352
56,20250831,DEV-00016,Offline,62.7,5.9,2270,2.6,2.3,74,-79,0,379
