LoanSnapshotID,DateKey,LoanID,CustomerID,ProductID,RegionID,DisbursementDate,LoanAmountKES,OutstandingKES,PARBucket,DaysOverdue,Status,CreditScore,CollectionAgentID
1,20241231,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,74221,Current,0,Active,707,
2,20250131,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,69887,Current,0,Active,707,
3,20250228,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,65672,Current,0,Active,707,
4,20250331,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,61252,Current,0,Active,707,
5,20250430,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,56806,Current,0,Active,707,
6,20250531,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,53099,Current,0,Active,707,
7,20250630,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,48708,Current,0,Active,707,
8,20250731,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,44832,Current,0,Active,707,
9,20250831,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,40314,Current,0,Active,707,
10,20250930,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,36230,Current,0,Active,707,
11,20251031,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,32453,Current,0,Active,707,
12,20251130,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,28124,Current,0,Active,707,
13,20251231,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,23605,Current,0,Active,707,
14,20260131,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,19836,Current,0,Active,707,
15,20260228,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,15999,Current,0,Active,707,
16,20260331,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,12001,Current,0,Active,707,
17,20260430,LN-00001,CUST-04828,PROD-002,REG-02,2024-12-04,78000,7597,Current,0,Active,707,
18,20240831,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,87284,Current,0,Active,673,
19,20240930,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,80330,Current,0,Active,673,
20,20241031,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,73282,Current,0,Active,673,
21,20241130,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,66424,Current,0,Active,673,
22,20241231,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,58185,Current,0,Active,673,
23,20250131,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,51368,Current,0,Active,673,
24,20250228,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,43689,Current,0,Active,673,
25,20250331,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,35816,Current,0,Active,673,
26,20250430,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,27550,Current,0,Active,673,
27,20250531,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,19520,Current,0,Active,673,
28,20250630,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,11956,Current,0,Active,673,
29,20250731,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,4702,Current,0,Active,673,
30,20250831,LN-00002,CUST-03833,PROD-001,REG-04,2024-08-24,95000,0,Current,0,Completed,673,
31,20240131,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,26654,Current,0,Active,700,
32,20240229,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,25216,Current,0,Active,700,
33,20240331,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,23858,Current,0,Active,700,
34,20240430,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,22491,Current,0,Active,700,
35,20240531,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,21021,Current,0,Active,700,
36,20240630,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,19420,Current,0,Active,700,
37,20240731,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,17858,Current,0,Active,700,
38,20240831,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,16228,Current,0,Active,700,
39,20240930,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,14660,Current,0,Active,700,
40,20241031,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,13057,Current,0,Active,700,
41,20241130,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,11479,Current,0,Active,700,
42,20241231,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,9855,Current,0,Active,700,
43,20250131,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,8481,Current,0,Active,700,
44,20250228,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,7118,Current,0,Active,700,
45,20250331,LN-00003,CUST-02756,PROD-006,REG-01,2024-01-27,28000,5563,Current,0,Active,700,
