TransactionID,DateKey,CustomerID,ProductID,ChannelID,AgentID,CountyID,UnitsSold,RevenueKES,PaymentType,LeadSource,DaysToClose
TXN-00001,20230114,CUST-04763,PROD-001,CH-01,AGT-056,CTY-036,1,101253,Cash,Field Agent,6
TXN-00002,20230115,CUST-03423,PROD-001,CH-01,AGT-072,CTY-016,1,93798,PAYG,Social Media,30
TXN-00003,20230111,CUST-02664,PROD-001,CH-01,AGT-044,CTY-026,1,99720,Cash,Referral,15
TXN-00004,20230115,CUST-00249,PROD-002,CH-03,AGT-053,CTY-001,1,68732,Cash,Social Media,23
TXN-00005,20230110,CUST-01083,PROD-002,CH-01,AGT-056,CTY-037,1,87736,Cash,Field Agent,5
TXN-00006,20230111,CUST-04321,PROD-007,CH-02,AGT-068,CTY-013,1,6764,Cash,Referral,6
TXN-00007,20230114,CUST-01277,PROD-004,CH-01,AGT-003,CTY-009,1,42243,PAYG,Field Agent,8
TXN-00008,20230116,CUST-00162,PROD-001,CH-03,AGT-021,CTY-007,1,88696,Cash,Referral,26
TXN-00009,20230109,CUST-00091,PROD-007,CH-02,AGT-048,CTY-009,1,8224,PAYG,Referral,5
TXN-00010,20230126,CUST-04340,PROD-008,CH-02,AGT-039,CTY-038,1,3071,PAYG,Field Agent,17
TXN-00011,20230125,CUST-03602,PROD-001,CH-01,AGT-044,CTY-015,1,92408,Cash,Walk-in,8
TXN-00012,20230128,CUST-01845,PROD-007,CH-02,AGT-051,CTY-007,1,6036,Cash,Field Agent,17
TXN-00013,20230112,CUST-01415,PROD-002,CH-01,AGT-062,CTY-036,1,68019,PAYG,Trade Show,43
TXN-00014,20230124,CUST-01994,PROD-008,CH-01,AGT-077,CTY-038,1,3084,Cash,Referral,22
TXN-00015,20230111,CUST-00341,PROD-004,CH-01,AGT-074,CTY-042,1,49364,PAYG,Social Media,13
TXN-00016,20230128,CUST-00978,PROD-001,CH-02,AGT-001,CTY-007,1,104376,PAYG,Field Agent,25
TXN-00017,20230127,CUST-00099,PROD-008,CH-01,AGT-069,CTY-038,1,1049,Cash,Field Agent,5
TXN-00018,20230126,CUST-02469,PROD-003,CH-02,AGT-043,CTY-004,1,61593,Cash,Social Media,16
TXN-00019,20230124,CUST-03219,PROD-001,CH-02,AGT-021,CTY-020,1,94689,PAYG,Field Agent,5
