TicketID,DateKey,CustomerID,Category,Priority,SLATargetHrs,CreatedDate,ResolvedDate,ResolutionTimeHrs,FCRFlag,PostResolutionCSAT,SLAMetFlag
TKT-00001,20251116,CUST-01875,Billing/Payment,High,4,2025-11-16,2025-11-16,13.3,1,3,0
TKT-00002,20250117,CUST-03399,Technical/Pump,Medium,24,2025-01-17,2025-01-17,2.3,0,4,1
TKT-00003,20230630,CUST-03636,Technical/Pump,Low,72,2023-06-30,2023-07-01,26.4,0,5,1
TKT-00004,20251220,CUST-00481,Technical/Pump,Low,72,2025-12-20,2025-12-21,38.1,1,3,1
TKT-00005,20241223,CUST-03719,Billing/Payment,Medium,24,2024-12-23,2024-12-23,17.5,0,3,1
TKT-00006,20250625,CUST-00033,Billing/Payment,Medium,24,2025-06-25,2025-06-26,25.5,1,3,0
TKT-00007,20240816,CUST-03471,Complaint,Medium,24,2024-08-16,2024-08-16,10.9,1,3,1
TKT-00008,20260214,CUST-00039,Billing/Payment,Low,72,2026-02-14,2026-02-14,13.1,0,2,1
TKT-00009,20250722,CUST-01541,Technical/Pump,Low,72,2025-07-22,2025-07-22,11.6,1,2,1
TKT-00010,20231110,CUST-03035,Complaint,Low,72,2023-11-10,2023-11-10,0.5,1,3,1
TKT-00011,20250320,CUST-01185,Technical/Pump,Medium,24,2025-03-20,2025-03-21,43.3,1,5,0
TKT-00012,20250325,CUST-00557,Billing/Payment,High,4,2025-03-25,2025-03-25,6.3,1,3,0
TKT-00013,20230805,CUST-03345,Billing/Payment,Medium,24,2023-08-05,2023-08-05,6.3,1,5,1
TKT-00014,20241022,CUST-02889,Installation,Medium,24,2024-10-22,2024-10-22,16.2,0,3,1
TKT-00015,20241208,CUST-04210,Warranty,Medium,24,2024-12-08,2024-12-08,5.7,1,4,1
TKT-00016,20250825,CUST-00138,Warranty,Medium,24,2025-08-25,2025-08-25,16.3,0,4,1
TKT-00017,20250510,CUST-01024,Billing/Payment,Medium,24,2025-05-10,2025-05-10,7.2,1,3,1
TKT-00018,20250915,CUST-04987,Technical/Pump,Low,72,2025-09-15,2025-09-15,7.6,1,3,1
TKT-00019,20250531,CUST-01141,Complaint,Low,72,2025-05-31,2025-06-02,71.5,0,2,1
TKT-00020,20240317,CUST-04674,Technical/Pump,Low,72,2024-03-17,2024-03-17,6.3,0,4,1
TKT-00021,20260301,CUST-04465,Installation,High,4,2026-03-01,2026-03-01,18.5,1,3,0
TKT-00022,20240129,CUST-03426,Billing/Payment,Medium,24,2024-01-29,2024-01-29,16.2,1,5,1
TKT-00023,20250408,CUST-03204,Technical/Pump,Medium,24,2025-04-08,2025-04-09,37.2,0,2,0
TKT-00024,20250718,CUST-03373,Billing/Payment,Medium,24,2025-07-18,2025-07-20,48.7,0,3,0
TKT-00025,20241126,CUST-04113,Technical/Pump,Medium,24,2024-11-26,2024-11-26,1.1,0,4,1
TKT-00026,20250531,CUST-00713,Installation,Medium,24,2025-05-31,2025-06-01,28.6,1,3,0
TKT-00027,20250522,CUST-02684,Installation,Medium,24,2025-05-22,2025-05-22,11.7,1,4,1
TKT-00028,20231105,CUST-04746,Technical/Pump,High,4,2023-11-05,2023-11-05,2.2,0,3,1
TKT-00029,20250831,CUST-02044,Technical/Pump,Medium,24,2025-08-31,2025-08-31,6.9,1,3,1
